factor,standardized_coef,raw_coef,true_coef
Factor_01,0.0008073024793307591,0.0007951554680184395,0.0013
Factor_02,-0.0006450716508924142,-0.0006270182241775229,-0.0011
Factor_03,0.00044923782047783027,0.00045553130904472597,0.0009
Factor_04,0.0004541796363010688,0.0004651908890770861,0.0007
Factor_05,-0.0002930140241942505,-0.00029868327840642373,-0.0006
Factor_06,-0.0,-0.0,0.0
Factor_07,0.0,0.0,0.0
Factor_08,0.0,0.0,0.0
Factor_09,0.0,0.0,0.0
Factor_10,0.0,0.0,0.0
Factor_11,-0.0,-0.0,0.0
Factor_12,-0.0,-0.0,0.0
Factor_13,-0.0,-0.0,0.0
Factor_14,0.0,0.0,0.0
Factor_15,0.0,0.0,0.0
Factor_16,0.0,0.0,0.0
Factor_17,-0.0,-0.0,0.0
Factor_18,-0.0,-0.0,0.0
Factor_19,0.0,0.0,0.0
Factor_20,0.0,0.0,0.0
Factor_21,-0.0,-0.0,0.0
Factor_22,0.0,0.0,0.0
Factor_23,0.0,0.0,0.0
Factor_24,0.0,0.0,0.0
Factor_25,-0.0,-0.0,0.0
Factor_26,-0.0,-0.0,0.0
Factor_27,0.0,0.0,0.0
Factor_28,0.0,0.0,0.0
Factor_29,0.0,0.0,0.0
Factor_30,0.0,0.0,0.0
Factor_31,0.0,0.0,0.0
Factor_32,0.0,0.0,0.0
Factor_33,0.0,0.0,0.0
Factor_34,-0.0,-0.0,0.0
Factor_35,-0.0,-0.0,0.0
Factor_36,-0.0,-0.0,0.0
Factor_37,-0.0,-0.0,0.0
Factor_38,-0.0,-0.0,0.0
Factor_39,-0.0,-0.0,0.0
Factor_40,0.0,0.0,0.0
Factor_41,-5.558629960348015e-05,-5.581077073193282e-05,0.0
Factor_42,0.0,0.0,0.0
Factor_43,0.0,0.0,0.0
Factor_44,-0.0,-0.0,0.0
Factor_45,0.0,0.0,0.0
Factor_46,-0.0,-0.0,0.0
Factor_47,0.0,0.0,0.0
Factor_48,1.1883008579366665e-05,1.1832789502345767e-05,0.0
Factor_49,-0.0,-0.0,0.0
Factor_50,-0.0,-0.0,0.0
