model,split,accuracy,precision,recall,AP,ROC_AUC,Brier,log_loss
unrestricted_tree,train,1.0,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16
unrestricted_tree,validation,0.86,0.20512820512820512,0.24242424242424243,0.11222804972804973,0.5789777887870531,0.14,5.046111474476401
unrestricted_tree,test,0.8675,0.32558139534883723,0.3684210526315789,0.17995104039167686,0.644155277697005,0.1325,4.775784074058023
regulated_tree,train,0.9266666666666666,0.5652173913043478,0.14285714285714285,0.24775844064326616,0.7829893280749909,0.06109758089658892,0.22335316000712113
regulated_tree,validation,0.9025,0.2,0.06060606060606061,0.16380045103237334,0.7444471967632731,0.07528051977176595,0.2633293623108716
regulated_tree,test,0.915,0.625,0.2631578947368421,0.34071077795909654,0.8137539982553068,0.0694933938135018,0.2455847316255506
random_forest_sqrt,train,0.9275,0.6666666666666666,0.08791208791208792,0.5743844652091885,0.9492959700353749,0.0493459677984783,0.16783826400377214
random_forest_sqrt,validation,0.9125,0.25,0.030303030303030304,0.2061158837487767,0.7437866402444059,0.07234111359289255,0.25997666592505536
random_forest_sqrt,test,0.9125,0.7142857142857143,0.13157894736842105,0.46969146420230934,0.8413783076475719,0.06795303353514894,0.23786735397785827
bagged_all_features,train,0.9316666666666666,0.6956521739130435,0.17582417582417584,0.605147418782966,0.9562322258444892,0.04768292364751532,0.16149190587656956
bagged_all_features,validation,0.91,0.3333333333333333,0.09090909090909091,0.19912324627325637,0.7329700272479563,0.07454692570953425,0.2693601372890287
bagged_all_features,test,0.92,0.8,0.21052631578947367,0.5130197206245598,0.8351991858098285,0.06743154410926394,0.23859843620386165
AdaBoost,train,0.9241666666666667,0.5,0.03296703296703297,0.34253972426845336,0.8266381949880597,0.09659753394192801,0.35661851997208355
AdaBoost,validation,0.9175,0.5,0.030303030303030304,0.19910360717350328,0.7600528445215093,0.105172651735296,0.37656975267933646
AdaBoost,test,0.9125,0.8,0.10526315789473684,0.5004479119724421,0.8718013957545798,0.10413565324988831,0.374627403185503
GBM,train,0.9316666666666666,0.7368421052631579,0.15384615384615385,0.48336347266385243,0.8774066330423409,0.052839226263829524,0.19110012897947284
GBM,validation,0.9125,0.3333333333333333,0.06060606060606061,0.1879564168631893,0.7346627033275535,0.0763946923144825,0.26996680644375
GBM,test,0.91,0.5833333333333334,0.18421052631578946,0.4595857430075476,0.8539182902006397,0.06579919506934791,0.23045887104239626
